# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	101	1783	+					dnaA		GUY23_RS00005	1683		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	101	1783	+	WP_166968556.1	WP_166968556.1		chromosomal replication initiator protein DnaA	dnaA		GUY23_RS00005	1683	560	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	2366	3505	+					dnaN		GUY23_RS00010	1140		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	2366	3505	+	WP_208085418.1	WP_208085418.1		DNA polymerase III subunit beta	dnaN		GUY23_RS00010	1140	379	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	3506	4708	+					recF		GUY23_RS00015	1203		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	3506	4708	+	WP_166968558.1	WP_166968558.1		DNA replication/repair protein RecF	recF		GUY23_RS00015	1203	400	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	4705	5217	+							GUY23_RS00020	513		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	4705	5217	+	WP_166968560.1	WP_166968560.1		DciA family protein			GUY23_RS00020	513	170	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	5427	7424	+					gyrB		GUY23_RS00025	1998		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	5427	7424	+	WP_166968562.1	WP_166968562.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		GUY23_RS00025	1998	665	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	7563	10169	+					gyrA		GUY23_RS00030	2607		
